station_numbeer,zone_code,zone_name,district_code,district_name,block_code,block_name,panchayat_code,panchayat_name,location,longitude,latitude,station_type,agency,installed_position,date_of_comm,is_problematic,station_premises_on,vendor_engineer_name,User_ID,station_premises_condition,last_visited_date
63195585,54,South Central,45,Gaya,450011,Guraru,195585,Malpa,,84.757,24.756,ARG,Obel,Rooftop,,,,Abhishek kumar,7,No-Issue,14-11-2025
63195586,54,South Central,45,Gaya,450011,Guraru,195586,Pahra,,84.826,24.717,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,15-11-2025
63195587,54,South Central,45,Gaya,450011,Guraru,195587,Rauna,,84.786,24.82,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,14-11-2025
63195588,54,South Central,45,Gaya,450011,Guraru,195588,Tilori,,84.829,24.769,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,15-11-2025
63195589,54,South Central,45,Gaya,450012,Gurua,195589,Barma,,84.784,24.65,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195590,54,South Central,45,Gaya,450012,Gurua,195590,Belauti,,84.828,24.663,ARG,Obel,Rooftop,,,,Abhishek Kumar ,25,No-Issue,01-11-2025
63195591,54,South Central,45,Gaya,450012,Gurua,195591,Chilaur,,84.809,24.653,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195592,54,South Central,45,Gaya,450012,Gurua,195592,Dubba,,84.757,24.662,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195593,54,South Central,45,Gaya,450012,Gurua,195593,Guneri,,84.739,24.617,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195594,54,South Central,45,Gaya,450012,Gurua,195594,Gurua,,84.778,24.669,ARG,Obel,Rooftop,,,,,,,
63195595,54,South Central,45,Gaya,450012,Gurua,195595,Kajh,,84.69,24.622,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195596,54,South Central,45,Gaya,450012,Gurua,195596,Kolauna,,84.849,24.684,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195597,54,South Central,45,Gaya,450012,Gurua,195597,Manda,,84.723,24.667,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195598,54,South Central,45,Gaya,450012,Gurua,195598,Nadaura,,84.665,24.643,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195599,54,South Central,45,Gaya,450012,Gurua,195599,Nagwan,,84.693,24.676,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195600,54,South Central,45,Gaya,450012,Gurua,195600,Pakri,,84.713,24.644,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195601,54,South Central,45,Gaya,450012,Gurua,195601,Paluhara,,84.8,24.624,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195602,54,South Central,45,Gaya,450012,Gurua,195602,Raghunath Khap,,84.739,24.617,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195603,54,South Central,45,Gaya,450012,Gurua,195603,Rajan,,84.825,24.643,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195604,54,South Central,45,Gaya,450012,Gurua,195604,Semaru,,84.775,24.684,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,01-11-2025
63195605,54,South Central,45,Gaya,450015,Imamganj,195605,Babhandih,,84.589,24.456,ARG,Obel,Rooftop,,,,,,,
63195606,54,South Central,45,Gaya,450015,Imamganj,195606,Bikopur,,84.525,24.379,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,27-07-2024
63195607,54,South Central,45,Gaya,450015,Imamganj,195607,Biraj,,84.516,24.375,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,15-10-2024
63195608,54,South Central,45,Gaya,450015,Imamganj,195608,Chhakar Bandha,,84.598,24.411,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,26-11-2024
63195609,54,South Central,45,Gaya,450015,Imamganj,195609,Chua Bar,,84.616,24.481,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,08-01-2025
63195610,54,South Central,45,Gaya,450015,Imamganj,195610,Dubahal,,84.545,24.454,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,14-05-2024
63195611,54,South Central,45,Gaya,450015,Imamganj,195611,Jhikatiya,,84.505,24.435,ARG,Obel,Rooftop,,,,,,,
63195612,54,South Central,45,Gaya,450015,Imamganj,195612,Kujesar,,84.613,24.446,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,26-11-2024
63195613,54,South Central,45,Gaya,450015,Imamganj,195613,Lawabar,,84.574,24.419,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,05-03-2025
63195614,54,South Central,45,Gaya,450015,Imamganj,195614,Malhari,,84.567,24.463,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,10-06-2025
63195615,54,South Central,45,Gaya,450015,Imamganj,195615,Manjhauli,,84.496,24.339,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,15-10-2024
63195616,54,South Central,45,Gaya,450015,Imamganj,195616,Nagwan,,84.64,24.434,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,27-07-2024
63195617,54,South Central,45,Gaya,450015,Imamganj,195617,Naudiha,,84.662,24.414,ARG,Obel,Rooftop,,,,,,,
63195618,54,South Central,45,Gaya,450015,Imamganj,195618,Pakriguria,,84.583,24.473,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,10-06-2025
63195619,54,South Central,45,Gaya,450015,Imamganj,195619,Raniganj,,84.591,24.444,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,27-07-2024
63195620,54,South Central,45,Gaya,450015,Imamganj,195620,Salaiya,,84.514,24.324,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,15-10-2024
63195621,54,South Central,45,Gaya,450015,Imamganj,195621,Sidhpur,,84.57,24.454,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,10-06-2025
63195622,54,South Central,45,Gaya,450004,Khizirsarai,195622,Aima,,85.069,24.92,ARG,Obel,Rooftop,,,,Pritam updhyay,12,No-Issue,09-10-2023
63195623,54,South Central,45,Gaya,450004,Khizirsarai,195623,Bihta,,85.169,24.997,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,15-04-2025
63195624,54,South Central,45,Gaya,450004,Khizirsarai,195624,Chiraili,,85.075,24.939,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,25-07-2025
63195625,54,South Central,45,Gaya,450004,Khizirsarai,195625,Hathiyawan,,85.154,25.02,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,15-04-2025
63195626,54,South Central,45,Gaya,450004,Khizirsarai,195626,Hemara,,85.222,25.008,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,05-09-2024
63195627,54,South Central,45,Gaya,450004,Khizirsarai,195627,Horma,,85.11,24.938,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,13-06-2024
63195628,54,South Central,45,Gaya,450004,Khizirsarai,195628,Jamuawan,,85.161,25.057,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,13-06-2024
63195629,54,South Central,45,Gaya,450004,Khizirsarai,195629,Khizarsarai,,85.101,24.965,ARG,Obel,Rooftop,,,,,,,
63195630,54,South Central,45,Gaya,450004,Khizirsarai,195630,Kurwa,,85.122,25.021,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,15-04-2025
63195631,54,South Central,45,Gaya,450004,Khizirsarai,195631,Kutlupur,,85.065,24.926,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,09-10-2023
63195632,54,South Central,45,Gaya,450004,Khizirsarai,195632,Lodipur,,85.099,24.978,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,30-11-2024
63195633,54,South Central,45,Gaya,450004,Khizirsarai,195633,Naudiha,,85.105,25.008,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,13-06-2024
63195634,54,South Central,45,Gaya,450004,Khizirsarai,195634,Rauniya,,85.117,24.974,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,06-02-2025
63195635,54,South Central,45,Gaya,450004,Khizirsarai,195635,Sarbahada,,85.224,25.026,ARG,Obel,Rooftop,,,,,,,
63195636,54,South Central,45,Gaya,450004,Khizirsarai,195636,Siswar,,85.09,24.951,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,25-07-2025
63195637,54,South Central,45,Gaya,450004,Khizirsarai,195637,Uchauli,,85.071,24.899,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,Partially Sub-merged,25-07-2025
63195638,54,South Central,45,Gaya,450001,Konch,195638,Adai,,84.76,24.87,ARG,Obel,Rooftop,,,,Arjun kumar,7,No-Issue,12-11-2025
63195639,54,South Central,45,Gaya,450001,Konch,195639,Anti,,84.694,24.885,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,12-11-2025
63195640,54,South Central,45,Gaya,450001,Konch,195640,Aslampur,,84.716,25.034,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,13-11-2025
63195641,54,South Central,45,Gaya,450001,Konch,195641,Chabura,,84.736,24.862,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,12-11-2025
63195642,54,South Central,45,Gaya,450001,Konch,195642,Gararhi,,84.748,25.027,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,13-11-2025
63195643,54,South Central,45,Gaya,450001,Konch,195643,Gauharpur,,84.748,24.975,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,13-11-2025
63195644,54,South Central,45,Gaya,450001,Konch,195644,Kabar,,84.735,24.884,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,12-11-2025
63195645,54,South Central,45,Gaya,450001,Konch,195645,Ker,,84.815,24.989,ARG,Obel,Rooftop,,,,0,7,0,13-11-2025
63195646,54,South Central,45,Gaya,450001,Konch,195646,Khajuri,,84.757,24.953,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,13-11-2025
63195647,54,South Central,45,Gaya,450001,Konch,195647,Konch,,84.783,24.952,ARG,Obel,Rooftop,,,,,,,
63195648,54,South Central,45,Gaya,450011,Guraru,195648,Korap,,84.714,24.839,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,12-11-2025
63195649,54,South Central,45,Gaya,450001,Konch,195649,Kurmawan,,84.818,24.884,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,14-11-2025
63195650,54,South Central,45,Gaya,450001,Konch,195650,Manjhiawan,,84.748,24.931,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,12-11-2025
63195651,54,South Central,45,Gaya,450001,Konch,195651,Parsawan,,84.759,24.91,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,12-11-2025
63195652,54,South Central,45,Gaya,450001,Konch,195652,Simara,,84.795,24.845,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,14-11-2025
63195653,54,South Central,45,Gaya,450001,Konch,195653,Srigawan,,84.787,25.022,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,13-11-2025
63195654,54,South Central,45,Gaya,450001,Konch,195654,Tineri,,84.677,24.851,ARG,Obel,Rooftop,,,,Abhishek Kumar ,7,No-Issue,12-11-2025
63195655,54,South Central,45,Gaya,450001,Konch,195655,Utren,,84.836,24.9,ARG,Obel,Rooftop,,,,Pritam upadhyay,7,No-Issue,13-11-2025
63195656,54,South Central,45,Gaya,450008,Manpur,195656,Bara Gandhar,,85.04,24.782,ARG,Obel,Rooftop,,,,Pritam upadhyay,24,No-Issue,07-11-2025
63195657,54,South Central,45,Gaya,450008,Manpur,195657,Bhadeja,,85.037,24.772,ARG,Obel,Rooftop,,,,Pritam upadhyay,24,No-Issue,05-11-2025
63195658,54,South Central,45,Gaya,450008,Manpur,195658,Bhore,,85.086,24.856,ARG,Obel,Rooftop,,,,Pritam upadhyay,24,No-Issue,07-11-2025
63195659,54,South Central,45,Gaya,450008,Manpur,195659,Gere,,85.049,24.812,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,26-07-2025
63195660,54,South Central,45,Gaya,450008,Manpur,195660,Kaiya,,85.076,24.787,ARG,Obel,Rooftop,,,,Pritam upadhyay,24,No-Issue,07-11-2025
63195661,54,South Central,45,Gaya,450008,Manpur,195661,Lakhanpur,,85.063,24.803,ARG,Obel,Rooftop,,,,Pritam upadhyay,24,No-Issue,07-11-2025
63195662,54,South Central,45,Gaya,450008,Manpur,195662,Nanauk,,85.043,24.872,ARG,Obel,Rooftop,,,,Pritam upadhyay,24,No-Issue,07-11-2025
63195663,54,South Central,45,Gaya,450008,Manpur,195663,Nauranga,,85.027,24.783,ARG,Obel,Rooftop,,,,Pritam upadhyay,24,No-Issue,05-11-2025
63195664,54,South Central,45,Gaya,450008,Manpur,195664,Shadipur,,85.028,24.843,ARG,Obel,Rooftop,,,,Abhishek Kumar ,24,No-Issue,07-11-2025
63195665,54,South Central,45,Gaya,450008,Manpur,195665,Sohaipur,,85.051,24.756,ARG,Obel,Rooftop,,,,Pritam upadhyay,24,No-Issue,05-11-2025
63195666,54,South Central,45,Gaya,450008,Manpur,195666,Sonaut,,84.072,24.842,ARG,Obel,Rooftop,,,,Pritam upadhyay,24,No-Issue,07-11-2025
63195667,54,South Central,45,Gaya,450008,Manpur,195667,Usari,,85.038,24.826,ARG,Obel,Rooftop,,,,Pritam upadhyay,24,No-Issue,07-11-2025
63195668,54,South Central,45,Gaya,450023,Mohanpur,195668,Ambatari,,85.207,24.557,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,12-11-2024
63195669,54,South Central,45,Gaya,450023,Mohanpur,195669,Amkola,,85.123,24.567,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,23-12-2024
63195670,54,South Central,45,Gaya,450023,Mohanpur,195670,Bagula,,85.043,24.538,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,13-10-2025
63195671,54,South Central,45,Gaya,450023,Mohanpur,195671,Bumuar,,84.988,24.554,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,21-09-2024
63195672,54,South Central,45,Gaya,450023,Mohanpur,195672,Dema,,85.004,24.614,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,17-02-2025
63195673,54,South Central,45,Gaya,450023,Mohanpur,195673,Dharhara,,85.028,24.567,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,17-02-2025
63195674,54,South Central,45,Gaya,450023,Mohanpur,195674,Erki,,85.07,24.615,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,23-12-2024
63195675,54,South Central,45,Gaya,450023,Mohanpur,195675,Gopal Kera,,85.059,24.529,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,08-07-2025
63195676,54,South Central,45,Gaya,450023,Mohanpur,195676,Guriyawan,,85.063,24.691,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,30-06-2024
63195677,54,South Central,45,Gaya,450023,Mohanpur,195677,Kewala,,85.189,24.554,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,12-11-2024
63195678,54,South Central,45,Gaya,450023,Mohanpur,195678,Khardih,,85.041,24.586,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,30-06-2024
63195679,54,South Central,45,Gaya,450023,Mohanpur,195679,Ladu,,84.996,24.609,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,17-02-2025
63195680,54,South Central,45,Gaya,450023,Mohanpur,195680,Lakhaipur,,85.094,24.584,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,08-07-2025
63195681,54,South Central,45,Gaya,450023,Mohanpur,195681,Matihani,,85.06,24.629,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,11-11-2024
63195682,54,South Central,45,Gaya,450023,Mohanpur,195682,Musaila,,85.099,24.551,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,08-07-2025
63195683,54,South Central,45,Gaya,450023,Mohanpur,195683,Sinduar,,85.017,24.54,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,21-09-2024
63195684,54,South Central,45,Gaya,450023,Mohanpur,195684,Siriyawan,,85.251,24.546,ARG,Obel,Rooftop,,,,,,,
63195685,54,South Central,45,Gaya,450023,Mohanpur,195685,Teswar,,85.056,24.644,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,11-08-2024
63195686,54,South Central,45,Gaya,450006,Muhra,195686,Arai,,85.337,24.924,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,15-10-2025
63195687,54,South Central,45,Gaya,450006,Muhra,195687,Dariyapur,,85.319,24.859,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,15-10-2025
63195688,54,South Central,45,Gaya,450007,Atri,195688,Gehlor,,85.243,24.884,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,15-10-2025
63195689,54,South Central,45,Gaya,450006,Muhra,195689,Jethian,,85.304,24.922,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,15-10-2025
63195690,54,South Central,45,Gaya,450006,Muhra,195690,North Kajoor,,85.289,24.875,ARG,Obel,Rooftop,,,,Abhishek Kumar ,27,No-Issue,16-10-2025
63195691,54,South Central,45,Gaya,450006,Muhra,195691,Sarsu,,85.369,24.903,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,15-10-2025
63195692,54,South Central,45,Gaya,450006,Muhra,195692,Sewtar,,85.349,24.906,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,15-10-2025
63195694,54,South Central,45,Gaya,450006,Muhra,195694,Tetar,,85.268,24.921,ARG,Obel,Rooftop,,,,,,,
63195695,54,South Central,45,Gaya,450005,Neemchak Bathani,195695,Bathani,,85.279,25.013,ARG,Obel,Rooftop,,,,,,,
63195696,54,South Central,45,Gaya,450005,Neemchak Bathani,195696,Khukhri,,85.216,24.98,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,16-10-2025
63195697,54,South Central,45,Gaya,450005,Neemchak Bathani,195697,Mai,,85.4,24.995,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,16-10-2025
63195698,54,South Central,45,Gaya,450005,Neemchak Bathani,195698,Maniyara,,85.233,24.964,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,16-10-2025
63195699,54,South Central,45,Gaya,450007,Atri,195699,Naili,,85.163,24.969,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,16-10-2025
63195700,54,South Central,45,Gaya,450005,Neemchak Bathani,195700,Saren,,85.279,24.954,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,16-10-2025
63195701,54,South Central,45,Gaya,450005,Neemchak Bathani,195701,Singhaul,,85.33,25.001,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,16-10-2025
63195702,54,South Central,45,Gaya,450005,Neemchak Bathani,195702,Telari,,85.254,24.999,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,16-10-2025
63195703,54,South Central,45,Gaya,450010,Paraiya,195703,Ajmatganj,,84.87,24.814,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,02-11-2025
63195704,54,South Central,45,Gaya,450010,Paraiya,195704,Bagahi,,84.843,24.728,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,02-10-2025
63195705,54,South Central,45,Gaya,450010,Paraiya,195705,Kapasia,,84.848,24.773,ARG,Obel,Rooftop,,,,Arjun kumar,25,No-Issue,02-11-2025
63195706,54,South Central,45,Gaya,450010,Paraiya,195706,Karhatta,,84.897,24.862,ARG,Obel,Rooftop,,,,Abhishek Kumar ,25,No-Issue,02-11-2025
63195707,54,South Central,45,Gaya,450010,Paraiya,195707,Mangarawan,,84.863,24.767,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,02-11-2025
63195708,54,South Central,45,Gaya,450010,Paraiya,195708,Manjhiawan,,85.858,24.833,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,02-11-2025
63195709,54,South Central,45,Gaya,450010,Paraiya,195709,Paraiya Khurd,,84.83,24.809,ARG,Obel,Rooftop,,,,,,,
63195710,54,South Central,45,Gaya,450010,Paraiya,195710,Puna Kala,,85.163,24.968,ARG,Obel,Rooftop,,,,Arjun kumar,25,No-Issue,02-11-2025
63195711,54,South Central,45,Gaya,450010,Paraiya,195711,Solara,,84.928,24.816,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,02-11-2025
63195712,54,South Central,45,Gaya,450017,Sherghati,195712,Bar,,84.833,24.576,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,31-10-2025
63195713,54,South Central,45,Gaya,450017,Sherghati,195713,Bela,,84.862,24.613,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,31-10-2025
63195714,54,South Central,45,Gaya,450017,Sherghati,195714,Chanpi,,84.771,24.532,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,31-10-2025
63195715,54,South Central,45,Gaya,450017,Sherghati,195715,Cherki,,84.877,24.68,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,31-10-2025
63195716,54,South Central,45,Gaya,450017,Sherghati,195716,Chetab Kalan,,84.826,24.604,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,31-10-2025
63195717,54,South Central,45,Gaya,450017,Sherghati,195717,Dhab Chiraiya,,84.832,24.543,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,31-10-2025
63195718,54,South Central,45,Gaya,450017,Sherghati,195718,Gopalpur,,84.827,24.555,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,31-10-2025
63195719,54,South Central,45,Gaya,450017,Sherghati,195719,Kachauri,,84.889,24.604,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,31-10-2025
63195720,54,South Central,45,Gaya,450017,Sherghati,195720,Sri Rampur,,84.754,24.531,ARG,Obel,Rooftop,,,,Pritam upadhyay,25,No-Issue,31-10-2025
63195721,54,South Central,45,Gaya,450020,Tankuppa,195721,Aropur,,85.138,24.725,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,21-08-2025
63195722,54,South Central,45,Gaya,450020,Tankuppa,195722,Bahsapipra,,85.123,24.66,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,02-04-2025
63195723,54,South Central,45,Gaya,450020,Tankuppa,195723,Barsauna,,85.077,24.738,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,21-08-2025
63195724,54,South Central,45,Gaya,450020,Tankuppa,195724,Bhetaura,,85.14,24.652,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,04-06-2024
63195725,54,South Central,45,Gaya,450020,Tankuppa,195725,Chaubar,,85.204,24.699,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,12-07-2025
63195726,54,South Central,45,Gaya,450020,Tankuppa,195726,Dhibar,,85.175,24.669,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,12-07-2025
63195727,54,South Central,45,Gaya,450020,Tankuppa,195727,Gajadharpur,,85.175,24.679,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,03-04-2025
63195728,54,South Central,45,Gaya,450020,Tankuppa,195728,Jagarnathpur,,85.123,24.631,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,02-04-2025
63195729,54,South Central,45,Gaya,450020,Tankuppa,195729,Tankuppa,,85.113,24.702,ARG,Obel,Rooftop,,,,,,,
63195730,54,South Central,45,Gaya,450020,Tankuppa,195730,Utali Bara,,85.117,24.731,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,21-08-2025
63195731,54,South Central,45,Gaya,450002,Tekari,195731,Ammakuan,,84.847,24.978,ARG,Obel,Rooftop,,,,Arjun kumar,27,No-Issue,14-10-2025
63195732,54,South Central,45,Gaya,450002,Tekari,195732,Belhariya,,84.852,24.944,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,14-10-2025
63195733,54,South Central,45,Gaya,450002,Tekari,195733,Bhori,,84.884,24.917,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,17-10-2025
63195734,54,South Central,45,Gaya,450002,Tekari,195734,Chaita,,84.851,25.012,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,14-10-2025
63195735,54,South Central,45,Gaya,450002,Tekari,195735,Chhathawan,,84.804,24.948,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,14-10-2025
63195736,54,South Central,45,Gaya,450002,Tekari,195736,Dighaura,,84.899,24.9,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,17-10-2025
63195737,54,South Central,45,Gaya,450002,Tekari,195737,Dihura,,84.837,24.997,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,08-08-2025
63195738,54,South Central,45,Gaya,450002,Tekari,195738,Jalalpur,,84.831,25.041,ARG,Obel,Rooftop,,,,Pritam upadhyay,12,No-Issue,04-06-2024
63195739,54,South Central,45,Gaya,450002,Tekari,195739,Kespa,,84.837,25.049,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,14-10-2025
63195740,54,South Central,45,Gaya,450002,Tekari,195740,Khanetu,,84.853,24.856,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,17-10-2025
63195741,54,South Central,45,Gaya,450002,Tekari,195741,Law,,84.877,24.951,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,Partially Sub-merged,17-10-2025
63195742,54,South Central,45,Gaya,450002,Tekari,195742,Mahmanna,,84.871,24.923,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,14-10-2025
63195743,54,South Central,45,Gaya,450002,Tekari,195743,Makhdumpur,,84.859,25.008,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,14-10-2025
63195744,54,South Central,45,Gaya,450002,Tekari,195744,Mau,,84.826,25.019,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,14-10-2025
63195745,54,South Central,45,Gaya,450002,Tekari,195745,Musi,,84.913,24.943,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,17-10-2025
63195746,54,South Central,45,Gaya,450002,Tekari,195746,Nepa,,84.873,24.886,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,14-10-2025
63195747,54,South Central,45,Gaya,450002,Tekari,195747,Noni,,84.882,24.99,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,17-10-2025
63195748,54,South Central,45,Gaya,450002,Tekari,195748,Paluhar,,88.842,24.99,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,14-10-2025
63195749,54,South Central,45,Gaya,450002,Tekari,195749,Pura,,84.896,24.951,ARG,Obel,Rooftop,,,,Pritam upadhyay,27,No-Issue,17-10-2025
